ConsumerComplaint,Company,State
"On XX/XX/XXXX I received a notification from Cash App stating my account was overdraft although I had XXXX in my balance. Cash app continually stated my issue was being escalated and I would receive an email, however that never happened. I continued communicating ( i have photos to prove ) and still have heard nothing back today ( XXXX ) in a span of a few hours twice my cash app account, which I have removed all of my personal banking information from, has had negative balance because someone is removing funding I do not have in there and have not used. Cash app will not respond in regards to this or help in any manor. Also on XX/XX/XXXX it was a news article put out that cash app had been hacked and peoples personal accounts interfered with but again they are not helping to rectify the problem. I have now lost XXXX and now have a negative balance of XXXX for as they are showing failed attempts",Square Inc.,NJ
"From XXXX XXXX XX/XX/XXXX i sent XXXX via Wells Fargo payments to a person who claimed to be looking for a roommate. I sent money to them under the impression i would be living there aswell. As soon as they recieved the full amount of money they didn't not give me a key to the place and refused me entering the property. There were multiple people involved in this scam. They also refused to give any of the funds back. I sent a total of XXXX to this person. Another company who has also been made aware of the issue is XXXX XXXX XXXX XXXX since they added my name to a rental agreement as an occupant even though i didn't not live there nor signed any official documents. They just accepted the payment. 


XXXX XXXX XXXX XXXX only agreed to removing my name.from the rental agreement Wells Fargo has offered to investigate these transactions and filed a claim",WELLS FARGO & COMPANY,CA
"I am a customer with Coinbase. In XX/XX/2021, my account was locked and under review as i saw an error message on screen and clicked the support link to check about this. 
After dozens of emails and verifying myself, it was only unlocked the end of XX/XX/2021. 
When unlocked, i saw transaction, a withdrawal of {$40000.00}. My account was locked so it was not me. 
I sent another email to them and they locked my account again. For security reasons. It was locked when my investment was taken so i am not sure how this provides any security to my account. 
My case number is XXXX. 
Nobody will get back to me about this but they do send generic emails which asks for a bit more time. I have had enough.","Coinbase, Inc.",None
"My transferwise account was deactivated on XX/XX/XXXX, I have a balance of approximately {$770.00}",TransferWise Ltd,FL
I signed up to kraken crypto exchange. I worried XXXX from my bank on XX/XX/XXXX. I understood there is a 72 hour or 3 day hold. we are going on 7 days and they refuse to release my money. They've asked me to send pictures write letters read articles etc which I did immediately as asked even though I felt that what they asked for was unwarranted. I felt bullied because I was at the mercy of their discretion toward my funds. It's been 2 days and I have not heard back and my emails to them have been unanswered. My money is still on hold. All I want is my money back in my bank account and off this site. I would warn everyone looking to sign up to stay away. There are tons of complaints against them and it's time we hold them accountable for actions such as this.,Payward Ventures Inc. dba Kraken,PA
"Hello recently I tried to ask many times to Paypal sort out my issue, but they can't. And also they close my case. Please help me to sort out my case. Thanks. My case id was - Not as described - claim case CLOSED Case ID : XXXX Here is my original message to Paypal - Paypal, I need to sort out the case. I already told you this product is not new and already send you a video of the website. If you can't resolve it I need to file a case against the company. Because the phone is already used and broken. I attached the phone box and the phone images. Also, ask the seller about it. Also, you can see I already buy this product on XXXX XX/XX/2021. And I check on XXXX for my product serial number ( XXXX ) for repair by the XXXX official repair page ( XXXX XXXX XXXX ) they show me my expiration date is for recovery on XXXX XX/XX/2021 but how can it's possible? If I got a new phone I minimum got a legit warranty. Please consider my case and please ask the XXXX, my order number is Order # : XXXX. Thanks a lot. If you can't resolve the matter maybe I can complain about the support of PayPal to the Consumer Financial Protection Bureau. Thanks again. Here is the video - XXXX XXXX XXXXXXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  Thanks!!!","Paypal Holdings, Inc",None
"I asked my sister to transfer {$12000.00} USD from her XXXX XXXX in XXXX, XXXX to the XXXX XXXX XXXX old bank account with East West bank in XXXX XXXX, CA on Friday XX/XX/XXXX. I was instructed by the customer service of the XXXX XXXX XXXX that the old account was an error, and asked us to tell the XXXX XXXX to cancel the transfer, and to request for the refund of {$12000.00} to my sister XXXX XXXX account immediately on Monday XX/XX/XXXX. Since then, the XXXX XXXX has submitted the request for the refund from East West bank for at least three times. However, East West bank continued to deny and to refuse to refund the money till now. 
Even though, we were informed by the XXXX XXXX XXXX financial department that they did not receive the money, and after 7-days the money sitting in the bank must be returned to the sender 's bank account automatically. East West bank has failed to do that. I suspect the bank is committing bank fraud and embezzlement of our transferred fund. I have reported this incident to the XXXX XXXX XXXX  on Tuesday XX/XX/XXXX. 
XXXX  Complaint Case # XXXX ( Ref # XXXX ) "" Hello, the customer service staff has responded to you many times. The financial department has not yet received the amount of money you transferred. At present, the financial department can't find out where the money is.. '' This message was from the customer service of the XXXX XXXX XXXX communication on LINE service. 
"" Hello, informed by the financial department. The financial department has not inquired the amount of money you transferred within seven days. Statement of financial department. If the financial department does not receive your transfer money within seven days, the amount will be returned automatically. Please call the bank staff you transferred to inquire whether the money has been returned. '' This is the returned policy of the XXXX XXXX XXXX company in XXXX XXXX provided by the customer service on LINE service on Wednesday XX/XX/XXXX. 
The XXXX XXXX received a message from East West bank that the beneficiary name account XXXX XXXX is closed, no fund is available to refund on Thursday XX/XX/XXXX. This was the excuse given by East West bank for not refunding the money which was sent in error on Friday XX/XX/XXXX. 
"" XXXX XXXX already sent them request x3, East West bank only responded once, i.e. awaiting from their main branch .... this is totally unprofessional and unethical response from a bank. '' This was another excuse given by East West bank for denying the refund requested by XXXX XXXX in XXXX, XXXX. 
Please advise what is the legal remedy available for the consumer to compel East West bank to refund the money sent to an account in error. It is very obvious that East West bank is withholding the money illegally for more than 7-days in its bank for now. It did not follow the XXXX XXXX XXXX 7-day refund policy. 

"" On XX/XX/XXXX Friday, the XXXX XXXX in XXXX, XXXX transmitted {$12000.00} to : Accout NameXXXX XXXX XXXX Name East West Bank Account numberXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX On XX/XX/XXXX Monday, the XXXX XXXX was informed that, this was an error. We requested the XXXX XXXX to submit the cancellation of this transfer, and requested the refund of {$12000.00} to the originator 's bank account with the XXXX XXXX. On XX/XX/XXXX, Monday, the East West Bank is still dragging its responsibility to refund the money to the XXXX XXXX account in XXXX, XXXX. XXXX, the XXXX XXXX has sent two requests to the East West bank to refund the money promptly. ''",EAST WEST BANK,None
My account in Conbase has been blocked and I can not access my virtual currencies or my XXXX money,"Coinbase, Inc.",None
"Hello, I have a check that I have not been able to exchange my check has expired and I have not paid my funds. I need help recover my money",LOBEL FINANCIAL CORPORATION,FL
"In good faith I sent a wire transfer from my XXXX XXXX  to a Wells Fargo account to pay a builder in Florida on Monday XX/XX/21. On Thursday XX/XX/21 my builder called to inquire about where was the wire transfer. I told him that I wired the funds to the new account at Wells Fargo sent to me by his office. He informed me that he did not have a new account at Wells Fargo. On closer inspection the email instructions with attachments were sent to me by an email address from his company and modified at the end by adding XXXX. I was sent a fraudulent email with fraudulent wire instructions to a Wells Fargo account. My Bank contacted Wells Fargo and they would not provide my bank with any information concerning the account due to "" privacy issues with their client ''. Each day the trail gets colder and Wells Fargo told my bank they would get back to them in 90 days. 

I need help - I lost over {$90000.00}",WELLS FARGO & COMPANY,KS
