Name,Pitches,total_pitches,Salary
"Wheeler, Zack",3205,3205,23500000
"Mahle, Tyler",3196,3196,2200000
"Castillo, Luis",3164,3164,4200000
"Buehler, Walker",3152,3152,3750000
"Ray, Robbie",3141,3141,8000000
"Alcantara, Sandy",3095,3095,630000
"Wainwright, Adam",3068,3068,8000000
"Berríos, José",3043,3043,5600000
"Montas, Frankie",3028,3028,1800000
"Gausman, Kevin",3002,3002,18900000
"Morton, Charlie",2987,2987,15000000
"Manaea, Sean",2980,2980,5950000
"Nola, Aaron",2971,2971,12250000
"Giolito, Lucas",2970,2970,4150000
"Cole, Gerrit",2969,2969,36000000
"Lyles, Jordan",2964,2964,8000000
"Cease, Dylan",2957,2957,600000
"Musgrove, Joe",2938,2938,4450000
"Eovaldi, Nathan",2927,2927,17000000
"Gibson, Kyle",2881,2881,11500000
"Scherzer, Max",2821,2821,34603480
"Flexen, Chris",2811,2811,1700000
"Woodruff, Brandon",2810,2810,3275000
"Hendricks, Kyle",2809,2809,14000000
"Márquez, Germán",2788,2788,7800000
"McCullers Jr., Lance",2788,2788,7083333
"Urías, Julio",2784,2786,3600000
"Darvish, Yu",2769,2769,22000000
"Corbin, Patrick",2750,2750,570500
"Pivetta, Nick",2745,2745,613500
"Stroman, Marcus",2741,2741,1890000
"Keuchel, Dallas",2726,2726,18000000
"Rodriguez, Eduardo",2721,2721,8300000
"Ryu, Hyun Jin",2689,2689,20000000
"Irvin, Cole",2682,2682,573000
"Happ, J.A.",2674,2674,8000000
"Minor, Mike",2620,2621,7000000
"Anderson, Tyler",2602,2602,2500000
"Burnes, Corbin",2594,2594,608000
"Miley, Wade",2592,2592,8150000
"Davies, Zach",2577,2577,8630000
"Montgomery, Jordan",2570,2570,2130000
"Greinke, Zack",2568,2577,35000000
"Kikuchi, Yusei",2561,2562,16500000
"DeSclafani, Anthony",2558,2558,6125000
"Fried, Max",2558,2558,3500000
"Matz, Steven",2557,2557,5200000
"Skubal, Tarik",2547,2547,574300
"Walker, Taijuan",2547,2547,10000000
"Gray, Jon",2537,2537,6000000
"Lynn, Lance",2503,2608,9333334
"Garcia, Luis",2502,2502,580100
"Hill, Rich",2496,2496,2500000
"Yarbrough, Ryan",2488,2488,2300000
"Kelly, Merrill",2425,2425,8500000
"Fedde, Erick",2410,2410,575000
"Senzatela, Antonio",2405,2405,3000000
"Bassitt, Chris",2381,2381,4900000
"Lester, Jon",2380,2380,2000000
"Taillon, Jameson",2371,2372,2250000
"Mize, Casey",2357,2357,574100
"Peralta, Freddy",2356,2356,1500000
"Houser, Adrian",2352,2352,584100
"Keller, Brad",2348,2348,3350000
"Snell, Blake",2347,2347,11100000
"Quantrill, Cal",2334,2357,586200
"Richards, Garrett",2331,2331,9500000
"Means, John",2328,2328,593500
"Gonzales, Marco",2324,2324,5250000
"Bumgarner, Madison",2294,2294,19000000
"Singer, Brady",2287,2287,593700
"Heaney, Andrew",2253,2330,515000
"Foltynewicz, Mike",2235,2236,2000000
"Harvey, Matt",2232,2232,1000000
"Gray, Sonny",2228,2228,10166666
"Rodón, Carlos",2219,2219,3000000
"Webb, Logan",2214,2214,583000
"Plesac, Zach",2205,2205,590200
"Bubic, Kris",2202,2202,570500
"Wood, Alex",2195,2195,5000000
"Anderson, Ian",2175,2175,575500
"Crowe, Wil",2171,2171,574000
"Rogers, Trevor",2169,2169,570500
"López, Jorge",2166,2166,586750
"Smyly, Drew",2138,2139,11000000
"Gilbert, Logan",2125,2125,570500
"Gallen, Zac",2102,2102,607500
"Valdez, Framber",2090,2090,637300
"Smith, Caleb",2067,2067,1386240
"Allard, Kolby",2054,2054,584250
"Ohtani, Shohei",2027,2027,3000000
"Kaprielian, James",2024,2024,570500
"Gant, John",1975,1975,2100000
"McKenzie, Triston",1975,1975,575300
"Wacha, Michael",1974,1974,3000000
"Lauer, Eric",1956,1956,570500
"Alzolay, Adbert",1955,1955,573000
"McClanahan, Shane",1953,1954,570500
"Brubaker, JT",1944,1944,590500
